Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons
The Original Kings of Comedy,2000,R,18 Aug 2000,115 min,"Comedy, Documentary",Spike Lee,"Cedric The Entertainer, Steve Harvey, D.L. Hughley","Steve Harvey, D.L. Hughley, Cedric The Entertainer",A concert film featuring four major African American stand up comedians.,English,United States,3 nominations,https://m.media-amazon.com/images/M/MV5BMTI5NDY1NDU1M15BMl5BanBnXkFtZTcwODcyNTMyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73,6.8,"6,011",tt0236388,movie,01 Jul 2013,"$38,182,790",N/A,N/A,True,
The Broken Hearts Club: A Romantic Comedy,2000,R,20 Oct 2000,94 min,"Comedy, Drama, Romance",Greg Berlanti,Greg Berlanti,"Timothy Olyphant, Dean Cain, Zach Braff",An insight into the turbulent lives and loves of a gay clique based in Los Angeles.,English,United States,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BMmZlODkzNmItZmIwZi00OGYxLTkwMjQtMzlhYmYwNjMwNzlmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,6.9,"8,051",tt0222850,movie,02 Oct 2012,"$1,746,585",N/A,N/A,True,
Crime,2021–,TV-MA,24 Nov 2021,1 min,"Crime, Drama, Mystery",N/A,"Irvine Welsh, Dean Cavanagh","Dougray Scott, Joanna Vanderham, Ken Stott","When an Edinburgh schoolgirl is abducted, DI Ray Lennox investigates her disappearance whilst confronting his own past trauma.",English,United Kingdom,2 wins,https://m.media-amazon.com/images/M/MV5BYzRiMDBjZjAtYThiMC00MzRiLWJhNjUtMWM0MGVmNjBhZjAzXkEyXkFqcGdeQXVyMTEwMzkzMTA1._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,"5,211",tt12759778,series,,,,,True,2
Criminal Code,2023–,TV-MA,14 Nov 2023,N/A,"Action, Crime, Drama",N/A,"Heitor Dhalia, Bernardo Barcellos, Leonardo Levis","Maeve Jinkings, Rômulo Braga, Thomas Aquino","Follows the complex work of federal police officers in an unprecedented investigation that culminates in the beginning of a thread that unravels, like no other, the construction of crime in the country.",Portuguese,Brazil,N/A,https://m.media-amazon.com/images/M/MV5BOTZkMzczMTYtZDgyYy00NjcxLWE3ZGUtYWNjMzcxY2M1MTU4XkEyXkFqcGdeQXVyNjgyMTI1MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,354,tt22459586,series,,,,,True,1
CSI: Crime Scene Investigation,2000–2015,TV-14,06 Oct 2000,60 min,"Crime, Drama, Mystery",N/A,Anthony E. Zuiker,"William Petersen, Laurence Fishburne, Ted Danson","Series following an elite team of police forensic evidence investigation experts as they work their cases in Las Vegas, Nevada.","English, Spanish, American Sign ","United States, Canada",Won 6 Primetime Emmys. 68 wins & 127 nominations total,https://m.media-amazon.com/images/M/MV5BYjRlZjFmNTktYzg0ZC00OWJlLWJlN2EtOGQ1OTRiOTFiMWE3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,"87,495",tt0247082,series,,,,,True,16
American Crime Story,2016–,TV-MA,02 Feb 2016,42 min,"Biography, Crime, Drama",N/A,"Scott Alexander, Larry Karaszewski, Sarah Burgess","Sarah Paulson, Annaleigh Ashford, Sterling K. Brown",An anthology series centered around America's most notorious crimes and criminals.,English,United States,Won 17 Primetime Emmys. 104 wins & 151 nominations total,https://m.media-amazon.com/images/M/MV5BMGExZjgzNzktNzUwYS00ZDgxLWFlMTktMzZhOWQxMGM0N2VkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",N/A,8.4,"97,888",tt2788432,series,,,,,True,4
Law & Order: Organized Crime,2021–,TV-14,01 Apr 2021,N/A,"Crime, Drama, Mystery",N/A,"Ilene Chaiken, Warren Leight, Julie Martin","Christopher Meloni, Danielle Moné Truitt, Ainsley Seiger",Elliot Stabler returns to the NYPD to battle organized crime after a devastating personal loss.,English,United States,2 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BM2E4MjM0ZTItYWYwZi00M2Y5LTliNDYtYTA2OThkZTM5NDcxXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,"9,104",tt12677870,series,,,,,True,3
Crime Story,1993,R,24 Jun 1993,103 min,"Action, Crime, Drama","Kirk Wong, Jackie Chan","Tin-Nam Chun, Man-Keung Chan, Lai Ling Cheung","Jackie Chan, Kent Cheng, Christine Ng","A Special Agent is assigned to protect a wealthy business magnate. However, when the businessman is kidnapped in a daring ambush, he teams up with a seasoned detective to crack the case. But soon he discovers the case isn't that s...","Mandarin, Hokkien, Cantonese",Hong Kong,2 wins & 8 nominations,https://m.media-amazon.com/images/M/MV5BZmE3ZDU3NTMtNTE1NC00MzVkLThjYTAtNzlhYzZjZTdhMDUzXkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}]",N/A,6.7,"7,269",tt0108656,movie,01 May 2017,"$194,720",N/A,N/A,True,
An American Crime,2007,R,07 Dec 2007,98 min,"Biography, Crime, Drama",Tommy O'Haver,"Tommy O'Haver, Irene Turner","Elliot Page, Hayley McFarland, Nick Searcy","The true story of suburban housewife Gertrude Baniszewski, who kept a teenage girl locked in the basement of her Indiana home during the 1960s.",English,United States,Nominated for 1 Primetime Emmy. 3 nominations total,https://m.media-amazon.com/images/M/MV5BZDc5YjRlMzctODMxYS00MDA4LWFhNjktMjhlODBkZTE0ZDQwXkEyXkFqcGdeQXVyMjQ2MTk1OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}]",N/A,7.2,"36,493",tt0802948,movie,22 May 2017,N/A,N/A,N/A,True,
The Crime Is Mine,2023,N/A,08 Mar 2023,102 min,"Comedy, Crime",François Ozon,"François Ozon, Philippe Piazzo, Georges Berr","Nadia Tereszkiewicz, Rebecca Marder, Isabelle Huppert","Madeleine Verdier, a young actress, is accused of murdering a famous producer. After being acquitted, she begins her new life of fame and success, until the truth comes out.","French, Spanish",France,N/A,https://m.media-amazon.com/images/M/MV5BNWI5M2NlM2EtMTE3ZC00ZDUwLWIxZDItNWUxYzVjZjg2YjdiXkEyXkFqcGdeQXVyNDU0NjMyNTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,"3,889",tt20330434,movie,N/A,N/A,N/A,N/A,True,
Crime Diaries: The Celebrity Stylist,2023,N/A,22 Nov 2023,90 min,Crime,Jacques Toulemonde Vidal,Jacques Toulemonde Vidal,"Diana Belmonte, Ernesto Benjumea, Nelson Camayo","When a celebrity stylist found stabbed to death next to his mother, a young detective is given 20 days to solve the case. Inspired by true events.",Spanish,Colombia,N/A,https://m.media-amazon.com/images/M/MV5BYThkMGJiNjctOGE2Yi00ZTZjLWJjODctZDE0ZjdmYTEwYmE3XkEyXkFqcGdeQXVyMTU0Nzc2MDM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}]",N/A,4.5,358,tt29692772,movie,N/A,N/A,N/A,N/A,True,
Wild Crime,2021–,Not Rated,28 Sep 2021,N/A,"Documentary, Crime, Mystery",N/A,N/A,"Jon Dyer, Randall Klitz, David Wenzel","Follows the uniquely qualified team of special agents that are responsible for investigating crimes that occur in the National Park System, as they tackle cases and bring law and order to this public land.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYTFmNzNhMTQtOWQ0Mi00YzM3LTljMzctYTg5YjFlZTMzYjAxXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,"1,024",tt15489004,series,,,,,True,3
L'art du crime,2017–,N/A,17 Nov 2017,50 min,"Crime, Drama, Mystery",N/A,"Angèle Herry-Leclerc, Pierre-Yves Mora","Nicolas Gob, Eléonore Bernheim, Benjamin Egner",A policeman teams up with an art expert to investigate crimes,French,France,1 win,https://m.media-amazon.com/images/M/MV5BNDEwZmE2ZjAtZTQ1My00ZTNjLWI2MTUtOGRjN2Q2NDE3ZGZjXkEyXkFqcGdeQXVyMTAwMzM3NDI3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,871,tt6190050,series,,,,,True,6
The Punisher,2017–2019,TV-MA,17 Nov 2017,53 min,"Action, Crime, Drama",N/A,Steve Lightfoot,"Jon Bernthal, Amber Rose Revah, Ben Barnes","After his revenge on those who murdered his family, aimless Marine veteran Frank Castle finds a new meaning in life as a vigilante known as ""The Punisher"".",English,United States,Nominated for 1 Primetime Emmy. 1 win & 14 nominations total,https://m.media-amazon.com/images/M/MV5BZDYzODRjNTYtNmVmYy00NTJjLTk3NzQtZjQ5Y2Y1YmIzMzZhXkEyXkFqcGdeQXVyMTY4NTMxNTcx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",N/A,8.5,"258,008",tt5675620,series,,,,,True,2
Delhi Crime,2019–,TV-MA,22 Mar 2019,50 min,"Crime, Drama",N/A,Richie Mehta,"Shefali Shah, Rasika Dugal, Rajesh Tailang","Based on the Nirbhaya case, Delhi Crime follows the Delhi Police investigation into the finding of the men who perpetrated this crime.","Hindi, English",India,14 wins & 26 nominations,https://m.media-amazon.com/images/M/MV5BYjQ2YmE4OWUtNDZhZi00ZGYxLTg4MzYtYWIwMWI1NDQ5ZDNlXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",N/A,8.5,"25,546",tt9398466,series,,,,,True,2
True Crime,1999,R,19 Mar 1999,127 min,"Crime, Drama, Mystery",Clint Eastwood,"Andrew Klavan, Larry Gross, Paul Brickman","Clint Eastwood, Isaiah Washington, LisaGay Hamilton",Can an over-the-hill journalist uncover the evidence that can prove a death row inmate's innocence just hours before his execution?,English,United States,5 nominations,https://m.media-amazon.com/images/M/MV5BNzYxMzJlNTUtYzBiNi00NWJmLThmOTAtYTMyYjdlY2Y4YzE0XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,6.6,"37,909",tt0139668,movie,31 Oct 2008,"$16,649,768",N/A,N/A,True,
Crimes of the Future,2022,R,03 Jun 2022,107 min,"Drama, Horror, Sci-Fi",David Cronenberg,David Cronenberg,"Viggo Mortensen, Léa Seydoux, Kristen Stewart","Humans adapt to a synthetic environment, with new transformations and mutations. With his partner Caprice, Saul Tenser, celebrity performance artist, publicly showcases the metamorphosis of his organs in avant-garde performances.",English,"Canada, Greece, United Kingdom",14 wins & 34 nominations,https://m.media-amazon.com/images/M/MV5BZDdjODNkMmYtYjMwNS00NTQzLThlYjUtODY2ZjdjNTNlY2JiXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67,5.8,"38,710",tt14549466,movie,N/A,"$2,452,882",N/A,N/A,True,
Total Drama,2007–2014,TV-PG,08 Jul 2007,22 min,"Animation, Action, Adventure",N/A,"Tom McGillis, Jennifer Pertsch","Anthony Christian Potenza, Clé Bennett, Rachel Wilson",Animated satire of survivor reality shows featuring random teenage archetypes vying for the final prize by any means necessary.,"Romanian, English, French, Spanish","Canada, United States, France",2 nominations,https://m.media-amazon.com/images/M/MV5BOTAzMjM0N2MtOWYwZS00N2Q1LWFhNjMtNWEyMTIxMmFhNmY4XkEyXkFqcGdeQXVyOTQ1MjE4OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,"13,528",tt1173427,series,,,,,True,5
Drama,2010,N/A,07 Oct 2010,80 min,Drama,Matias Lira,"Eliseo Altunaga, Sebastián Arrau, Matias Lira","Eusebio Arenas, Diego Ruiz, Isidora Urrejola","Three theater students, influenced by a professor and French theorist Antonin Artaud's acting technique, begin to experiment with their own lives, searching for real emotions and situations to bring onto the stage. Their obsession...",Spanish,"Chile, Argentina",N/A,https://m.media-amazon.com/images/M/MV5BMTY3NjEyMzgxMF5BMl5BanBnXkFtZTcwMzg1NzkxNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}]",N/A,4.9,689,tt1365451,movie,N/A,N/A,N/A,N/A,True,
Total Drama Island: Reboot,2023–,TV-PG,20 Oct 2023,N/A,Animation,N/A,"Tom McGillis, Jennifer Pertsch","Terry McGurrin, Deven Christian Mack, Brandon Michael Arrington",The most funny and dangerous reality cartoon show total drama is back with even more dangerous challenges.,English,N/A,N/A,https://m.media-amazon.com/images/M/MV5BZDAzNDk5NGItNzJjYS00NzY3LWE1MDUtMzg3ZDgxYmM4NGYyXkEyXkFqcGdeQXVyNzMyNjk4NDA@._V1_SX300.jpg,[],N/A,N/A,96,tt29116817,series,,,,,True,N/A
Confessions of a Teenage Drama Queen,2004,PG,20 Feb 2004,89 min,"Comedy, Family, Music",Sara Sugarman,"Dyan Sheldon, Gail Parent","Lindsay Lohan, Megan Fox, Adam Garcia","A teenage girl is convinced that her home city revolves around her until her family packs up and moves to the suburbs, where she finds herself competing for attention.",English,"Germany, United States",1 win,https://m.media-amazon.com/images/M/MV5BMTIzMDE0MDQ5Ml5BMl5BanBnXkFtZTcwNTUwMDUyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '14%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",33,4.7,"30,792",tt0361467,movie,18 Nov 2014,"$29,331,068",N/A,N/A,True,
Drama/Mex,2006,Unrated,02 Mar 2007,93 min,Drama,Gerardo Naranjo,Gerardo Naranjo,"Fernando Becerril, Diana García, Miriana Moro","Two interlaced stories unfold over the course of the same long, hot day in the once lush and now decadent resort town of Acapulco. The first involves the beautiful and cool Fernanda, who is forced to deal with the sudden emergence...","Spanish, English",Mexico,2 nominations,https://m.media-amazon.com/images/M/MV5BMzJiZTk2MTEtZDZmMC00ZmJkLWE5NzAtYTMyMDI2MzdkODBiXkEyXkFqcGdeQXVyMzY0MTY2MDA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,5.9,"1,420",tt0808237,movie,12 Apr 2017,"$8,628",N/A,N/A,True,
Drama Drama,2019,PG-13,01 Jun 2021,103 min,"Comedy, Family, Musical",Martin Guigui,"Martin Guigui, Brian Lukow","Cheri Oteri, Cinta Laura Kiehl, Hunter Sansone","The most unlikely pairing of teen-age girls end up bonding to form the pop group Drama Drama, and make a stand against bullying in their high school.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMDdkMTVmYzMtYWZmOC00OWJkLTkxMWUtYzE1OTU0Y2RkYmY3XkEyXkFqcGdeQXVyNzU4ODEwNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",N/A,4.7,130,tt3901006,movie,01 Jun 2021,N/A,N/A,N/A,True,
Fat Legs,2015,TV-MA,11 Jun 2019,96 min,"Comedy, Drama, Romance",Sophie Mathisen,Sophie Mathisen,"Agnès Boury, Julien Bravo, Jonathan Burteaux","Anna travels to Paris following John, unintentionally causing tension between her best friend Jean and his partner Philippe.","French, English","United Kingdom, Australia, France",N/A,https://m.media-amazon.com/images/M/MV5BN2JmNTExNWQtNDNmNC00NDZmLWIxYmItZDNmMmI0ZTdmY2VhXkEyXkFqcGdeQXVyMTk5MjAyMjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,107,tt3562532,movie,13 Jun 2019,N/A,N/A,N/A,True,
American Horror Story,2011–,TV-MA,05 Oct 2011,60 min,"Drama, Horror, Sci-Fi",N/A,"Brad Falchuk, Ryan Murphy, Halley Feiffer","Lady Gaga, Kathy Bates, Angela Bassett","An anthology series centering on different characters and locations, showcasing different aspects of horror.",English,United States,Won 16 Primetime Emmys. 128 wins & 403 nominations total,https://m.media-amazon.com/images/M/MV5BNzViNjc5YzktZDM3Zi00OTA0LTlkM2QtNGQwY2YwNTRjOGMzXkEyXkFqcGdeQXVyMTU1ODIwMTM1._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,"337,810",tt1844624,series,,,,,True,12
American Horror Stories,2021–,TV-MA,15 Jul 2021,N/A,"Drama, Horror, Mystery",N/A,"Brad Falchuk, Ryan Murphy","Sierra McCormick, Paris Jackson, Merrin Dungey","An anthology series of stand-alone episodes delving into horror myths, legends and lore.",English,United States,Nominated for 3 Primetime Emmys. 2 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BZjQzZDAxMjAtMTc4NC00MDJhLWJmMGUtZTU0YWE2Y2YyODJkXkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,"25,451",tt12306692,series,,,,,True,3
The Rocky Horror Picture Show,1975,R,31 Aug 1975,100 min,"Comedy, Horror, Musical",Jim Sharman,"Richard O'Brien, Jim Sharman","Tim Curry, Susan Sarandon, Barry Bostwick",A newly-engaged couple have a breakdown in an isolated area and must seek shelter at the bizarre residence of Dr. Frank-n-Furter.,English,"United Kingdom, United States",3 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BOGIzYjM3YzMtMjk5ZS00NDY2LTllMjEtNjYwZjhmMDNhMDBkXkEyXkFqcGdeQXVyODUzMjQxMTA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,7.4,"164,281",tt0073629,movie,25 Nov 2015,"$112,892,319",N/A,N/A,True,
A Christmas Horror Story,2015,Not Rated,02 Oct 2015,99 min,"Fantasy, Horror, Mystery","Grant Harvey, Steven Hoban, Brett Sullivan","James Kee, Sarah Larsen, Doug Taylor","William Shatner, George Buza, Rob Archer","Interwoven stories that take place on Christmas Eve, as told by one festive radio host: A family brings home more than a Christmas tree, a student documentary becomes a living nightmare, a Christmas spirit terrorizes, Santa slays ...",English,Canada,5 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BODg3NTAwNzk5M15BMl5BanBnXkFtZTgwNjA4OTE3MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,5.8,"11,724",tt3688406,movie,23 May 2016,N/A,N/A,N/A,True,
Horror of Dracula,1958,Not Rated,16 Jun 1958,82 min,"Drama, Horror",Terence Fisher,"Jimmy Sangster, Bram Stoker","Peter Cushing, Christopher Lee, Michael Gough","Jonathan Harker rouses the ire of Count Dracula after he accepts a job at the vampire's castle under false pretenses. Harker's friend, Dr. Van Helsing, then embarks on a hunt for the predatory villain when he targets Harker's love...",English,United Kingdom,1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BMDhmYjgyMmEtYjMzNS00MmM5LTkxY2QtMzY0ODFjODEyMWFmXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67,7.2,"27,390",tt0051554,movie,18 Oct 2010,N/A,N/A,N/A,True,
The Amityville Horror,2005,R,15 Apr 2005,90 min,Horror,Andrew Douglas,"Scott Kosar, Jay Anson, Sandor Stern","Ryan Reynolds, Melissa George, Jimmy Bennett",Newlyweds are terrorized by demonic forces after moving into a large house that was the site of a grisly mass murder a year before.,English,United States,2 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BNzhlMzJkNzgtNDljNS00ZWY1LTg2ZjMtMTUxM2ExNWFlZTAyXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '24%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",33,5.9,"116,181",tt0384806,movie,01 Mar 2017,"$65,233,369",N/A,N/A,True,
Masters of Horror,2005–2007,TV-MA,28 Oct 2005,1 min,Horror,N/A,Mick Garris,"Karen Elizabeth Austin, J. Winston Carroll, Miho Ninagawa","Anchor Bay's collection, which has amassed some of the best horror film anthologies.",English,"Canada, Japan, United States",Won 1 Primetime Emmy. 8 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BMjU4ZGQxM2EtN2Q3NS00NTE5LWFlN2UtYWYzZGQ1NjA3ZGM5XkEyXkFqcGdeQXVyMTI0MTA4MTM5._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,"13,032",tt0448190,series,,,,,True,2
Horror Express,1972,R,03 Jan 1974,88 min,"Adventure, Horror, Sci-Fi",Eugenio Martín,"Arnaud d'Usseau, Julian Zimet","Christopher Lee, Peter Cushing, Alberto de Mendoza","While on the Trans-Siberian Express, an anthropologist and his rival must contain the threat posed by the former's cargo: a prehistoric ape which is the host for a parasitic life-form.","Spanish, English","Spain, United Kingdom",1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BMmYzMjEwYzUtNjZlZC00OWUzLWJhNjMtZWIxMTQ2Njg0YTIyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,6.5,"12,326",tt0068713,movie,15 Dec 2016,N/A,N/A,N/A,True,
Horror in the High Desert,2021,N/A,27 Mar 2021,82 min,"Horror, Thriller",Dutch Marich,Dutch Marich,"Suziey Block, Eric Mencis, David Morales","In July 2017, an outdoor enthusiast went missing in northern Nevada. He was never located. Friends and loved ones recall the events and, for the first time, talk about the horrific conclusion to his fate.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNDk0YTM4N2QtYmYwMC00NDAyLTk0MDQtZTM2OGE4MDg5YjI3XkEyXkFqcGdeQXVyOTUxOTk0Nw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",N/A,5.4,"3,509",tt13964404,movie,02 May 2021,N/A,N/A,N/A,True,
The Horror of Dolores Roach,2023,18+,07 Jul 2023,N/A,"Comedy, Drama, Horror",N/A,N/A,"Justina Machado, Alejandro Hernandez, K. Todd Freeman","When Dolores Roach is released after an unjust prison sentence, she reunites with an old friend who lets her work as a masseuse. When the promise of her newfound stability is threatened, Dolores is driven to shocking extremes to s...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYjVjOGUzMWQtNmYyYy00Mzg1LTlhY2YtYzZmMTY0MWM5MGY3XkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,"5,139",tt9174630,series,,,,,True,1
The Dunwich Horror,1970,R,14 Jan 1970,90 min,Horror,Daniel Haller,"Curtis Hanson, Henry Rosenbaum, Ronald Silkosky","Sandra Dee, Dean Stockwell, Ed Begley","Wilbur Whateley travels to the Arkham Miskatonic University to borrow the legendary Necronomicon. But, little does anyone know, Whateley isn't quite human...",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMzYyYmJkZDgtMjEwYy00MTgzLTk4NTYtZWY0NjQ3YTMzOTRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}]",N/A,5.4,"5,026",tt0065669,movie,04 May 2017,"$446,400",N/A,N/A,True,
The Blancheville Monster,1963,Unrated,06 Jun 1963,88 min,Horror,Alberto De Martino,"Giovanni Grimaldi, Bruno Corbucci, Edgar Allan Poe","Gérard Tichy, Leo Anchóriz, Ombretta Colli",The beautiful young daughter of a crazed count fears that she will fall victim to the family curse - to be sacrificed to fulfill an ancient family legend.,Italian,"Italy, Spain",N/A,https://m.media-amazon.com/images/M/MV5BNmZkYjExNTYtZjc5ZS00MGQ1LThlZjQtZGIzYzYwMGQ3M2NjXkEyXkFqcGdeQXVyNzA4ODc3ODU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,743,tt0057155,movie,13 Mar 2017,N/A,N/A,N/A,True,
Great Performers: Horror Show,2017,N/A,07 Dec 2017,10 min,"Short, Horror",Floria Sigismondi,N/A,"Timothée Chalamet, Jake Gyllenhaal, Tiffany Haddish, Daniel Kaluuya","The New York Times Magazine presents ten famous performers as they create macabre scenes evoking the horror genre. Performances includes a vampire, a cannibal, a mannequin, a demon child, a...",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BMjM5N2UzMDUtOGE4Yy00ZGZhLWEwM2ItNjQ0NjE1ZTFkNjY5XkEyXkFqcGdeQXVyNjczMzgwMDg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,148,tt8199834,movie,N/A,N/A,N/A,N/A,True,
ECW on Sci-Fi,2006–2010,TV-14,13 Jun 2006,65 min,Sport,N/A,Vince McMahon,"Matthew Kaye, Tommy Dreamer, Peter Senerchia","Extreme Championship Wrestling was reborn in 2006 with Paul Herman leading the way and ECW Extremists like Rob Van Dam, Kurt Angle, Big Show, The Sandman and Tommy Dreamer. ECW was back and ready to be a new breed unleashed.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZTFiMWZjM2EtNjhiOC00ODExLTljZjItMTJlYTU2YzVmZjIyXkEyXkFqcGdeQXVyNzU5MjczMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,"1,047",tt0810614,series,,,,,True,2
